Time,Ultrasonic_p3_01,Ultrasonic_p4_01,Gyro_p1_01,Rotation_pA_01,Rotation_pD_01,Ultrasonic_p3_02,Ultrasonic_p4_02,Gyro_p1_02,Rotation_pA_02,Rotation_pD_02
23.400,52.500,20.600,104.000,33.047,33.031,-,-,-,-,-,
23.500,52.700,21.200,104.000,33.192,33.175,-,-,-,-,-,
23.600,32.900,21.300,103.000,33.331,33.317,-,-,-,-,-,
23.700,51.700,21.200,102.000,33.472,33.456,-,-,-,-,-,
23.800,50.600,21.200,100.000,33.614,33.597,-,-,-,-,-,
23.900,49.900,21.700,98.000,33.764,33.744,-,-,-,-,-,
24.000,50.000,22.000,97.000,33.897,33.878,-,-,-,-,-,
24.100,50.900,22.700,95.000,34.039,34.017,-,-,-,-,-,
24.200,50.900,22.800,94.000,34.183,34.158,-,-,-,-,-,
24.300,50.400,24.300,92.000,34.322,34.297,-,-,-,-,-,
24.400,50.000,32.600,90.000,34.464,34.439,-,-,-,-,-,
24.500,50.800,32.600,88.000,34.608,34.583,-,-,-,-,-,
24.600,50.000,32.600,86.000,34.750,34.725,-,-,-,-,-,
24.700,50.800,32.400,84.000,34.892,34.867,-,-,-,-,-,
24.800,51.500,117.900,82.000,35.031,35.006,-,-,-,-,-,
24.900,51.100,32.600,81.000,35.172,35.144,-,-,-,-,-,
25.000,51.800,26.500,80.000,35.314,35.286,-,-,-,-,-,
25.100,53.400,25.900,78.000,35.456,35.431,-,-,-,-,-,
25.200,54.600,25.900,77.000,35.597,35.572,-,-,-,-,-,
25.300,55.900,32.600,75.000,35.742,35.719,-,-,-,-,-,
25.400,57.200,57.300,74.000,35.881,35.856,-,-,-,-,-,
25.500,58.000,32.600,72.000,36.022,35.997,-,-,-,-,-,
25.600,58.000,32.600,70.000,36.164,36.136,-,-,-,-,-,
25.700,59.900,32.600,69.000,36.308,36.281,-,-,-,-,-,
25.800,60.900,32.600,67.000,36.450,36.419,-,-,-,-,-,
25.900,63.900,32.600,66.000,36.592,36.561,-,-,-,-,-,
26.000,44.300,32.600,64.000,36.731,36.700,-,-,-,-,-,
26.100,66.000,232.200,62.000,36.875,36.842,-,-,-,-,-,
26.200,67.400,226.600,60.000,37.017,36.983,-,-,-,-,-,
26.300,67.400,226.100,59.000,37.158,37.122,-,-,-,-,-,
26.400,67.400,225.900,57.000,37.303,37.267,-,-,-,-,-,
26.500,72.200,225.900,55.000,37.442,37.408,-,-,-,-,-,
26.600,72.200,225.900,52.000,37.586,37.547,-,-,-,-,-,
26.700,72.200,225.900,50.000,37.725,37.689,-,-,-,-,-,
26.800,72.200,225.900,48.000,37.867,37.831,-,-,-,-,-,
26.900,72.200,229.500,46.000,38.008,37.969,-,-,-,-,-,
27.000,72.200,50.000,45.000,38.150,38.111,-,-,-,-,-,
27.100,55.100,49.800,43.000,38.292,38.250,-,-,-,-,-,
27.200,46.000,49.800,42.000,38.436,38.394,-,-,-,-,-,
27.300,43.700,49.800,40.000,38.575,38.536,-,-,-,-,-,
27.400,41.100,49.800,37.000,38.717,38.675,-,-,-,-,-,
27.500,38.900,49.900,33.000,38.858,38.819,-,-,-,-,-,
27.600,38.000,51.100,31.000,39.000,38.961,-,-,-,-,-,
27.700,36.600,51.800,29.000,39.144,39.106,-,-,-,-,-,
27.800,35.500,52.700,28.000,39.286,39.253,-,-,-,-,-,
27.900,34.500,53.600,27.000,39.425,39.392,-,-,-,-,-,
28.000,34.000,54.000,26.000,39.567,39.536,-,-,-,-,-,
28.100,32.600,54.600,22.000,39.711,39.681,-,-,-,-,-,
28.200,32.200,34.800,17.000,39.853,39.819,-,-,-,-,-,
28.300,32.200,33.600,13.000,39.994,39.958,-,-,-,-,-,
28.400,30.300,32.900,12.000,40.139,40.100,-,-,-,-,-,
28.500,30.300,32.100,12.000,40.272,40.236,-,-,-,-,-,
28.600,29.700,32.600,12.000,40.414,40.383,-,-,-,-,-,
28.700,30.200,57.100,12.000,40.550,40.525,-,-,-,-,-,
28.800,29.600,57.200,12.000,40.706,40.683,-,-,-,-,-,
28.900,29.000,56.300,11.000,40.839,40.817,-,-,-,-,-,
29.000,28.600,43.900,10.000,40.981,40.956,-,-,-,-,-,
29.100,28.500,42.000,9.000,41.122,41.094,-,-,-,-,-,
29.200,28.100,25.100,8.000,41.267,41.239,-,-,-,-,-,
29.300,27.900,24.700,7.000,41.406,41.381,-,-,-,-,-,
29.400,27.800,23.600,7.000,41.542,41.517,-,-,-,-,-,
29.500,26.700,22.100,5.000,41.683,41.658,-,-,-,-,-,
29.600,26.700,20.400,4.000,41.831,41.803,-,-,-,-,-,
29.700,27.100,57.400,2.000,41.969,41.942,-,-,-,-,-,
29.800,27.100,57.300,0.000,42.111,42.081,-,-,-,-,-,
29.900,27.300,54.200,0.000,42.258,42.222,-,-,-,-,-,
30.000,28.000,56.900,2.000,42.394,42.361,-,-,-,-,-,
30.100,27.800,57.300,2.000,42.533,42.508,-,-,-,-,-,
30.200,27.800,59.800,3.000,42.672,42.653,-,-,-,-,-,
30.300,28.000,56.900,3.000,42.811,42.792,-,-,-,-,-,
30.400,27.900,56.100,3.000,42.956,42.936,-,-,-,-,-,
30.500,28.200,56.100,2.000,43.094,43.072,-,-,-,-,-,
30.600,28.100,56.300,1.000,43.239,43.214,-,-,-,-,-,
30.700,28.200,55.900,1.000,43.375,43.353,-,-,-,-,-,
30.800,29.400,55.400,1.000,43.519,43.497,-,-,-,-,-,
30.900,29.400,55.500,0.000,43.658,43.642,-,-,-,-,-,
31.000,30.200,55.300,0.000,43.800,43.783,-,-,-,-,-,
